Borough ,District ,School Code ,School Name ,School Type ,Enrollment (2017-2018) ,Capacity (2017-2018) ,Target Utilization % 2017-18 
Bronx ,9,X525 ,Bronx Leadership Academy High School ,High school ,583,552,106%
,,,,,,,
Bronx ,9,X128 ,Mott Hall III ,Junior High-Intermediate-Middle ,363,344,106%
,,,,,,,
Bronx ,9,X454 ,Science and Technology Academy: A Mott Hall School ,Junior High-Intermediate-Middle ,447,424,105%
,,,,,,,
Bronx ,9,X303 ,I.S. X303 Leadership & Community Service ,Junior High-Intermediate-Middle ,332,319,104%
,,,,,,,
Bronx ,9,X505 ,"Bronx School for Law, Government and Justice ",Secondary School ,771,747,103%
,,,,,,,
Bronx ,9,X218 ,P.S./I.S. 218 Rafael Hernandez Dual Language Magnet School ,K-8 ,"1,009",980,103%
,,,,,,,
Bronx ,9,X361 ,The Highbridge Green School ,Junior High-Intermediate-Middle ,397,387,103%
,,,,,,,
Bronx ,9,X250 ,Eximius College Preparatory Academy: A College Board School ,High school ,432,426,101%
,,,,,,,
Bronx ,9,X110 ,P.S. 110 Theodore Schoenfeld ,Elementary ,458,452,101%
,,,,,,,
Bronx ,10,X307 ,Luisa Pineiro Fuentes School of Science and Discovery ,Elementary ,385,183,210%
,,,,,,,
Bronx ,10,X209 ,P.S. 209 ,Early Childhood ,256,154,166%
,,,,,,,
Bronx ,10,X015 ,P.S. X015 Institute for Environmental Learning ,K-8 ,480,314,153%
,,,,,,,
Bronx ,10,X226 ,P.S. 226 ,Elementary ,478,317,151%
,,,,,,,
Bronx ,10,X280 ,P.S./M.S. 280 Mosholu Parkway ,K-8 ,876,582,151%
,,,,,,,
Bronx ,10,X344 ,Ampark Neighborhood ,Elementary ,395,273,145%
,,,,,,,
Bronx ,10,X340 ,P.S. 340 ,Elementary ,646,448,144%
,,,,,,,
Bronx ,10,X007 ,Milton Fein School ,Elementary ,758,538,141%
,,,,,,,
Bronx ,10,X056 ,P.S. 056 Norwood Heights ,Elementary ,704,527,134%
,,,,,,,
Bronx ,10,X291 ,P.S. 291 ,Elementary ,638,478,133%
,,,,,,,
Bronx ,10,X032 ,P.S. 032 Belmont ,Elementary ,819,616,133%
,,,,,,,
Bronx ,10,X205 ,P.S. 205 Fiorello LaGuardia ,Elementary ,"1,019",771,132%
,,,,,,,
Bronx ,10,X081 ,P.S. 081 Robert J. Christen ,Elementary ,725,557,130%
,,,,,,,
Bronx ,10,X086 ,P.S. 086 Kingsbridge Heights ,Elementary ,"1,669","1,285",130%
,,,,,,,
Bronx ,10,X445 ,The Bronx High School of Science ,High school ,"2,995","2,307",130%
,,,,,,,
Bronx ,10,X351 ,Bronx Collaborative High School ,High school ,553,428,129%
,,,,,,,
Bronx ,10,X094 ,P.S. 094 Kings College School ,Elementary ,"1,261","1,004",126%
,,,,,,,
Bronx ,10,X008 ,P.S. 008 Isaac Varian ,Elementary ,"1,001",801,125%
,,,,,,,
Bronx ,10,X315 ,P.S. 315 Lab School ,K-8 ,249,203,123%
,,,,,,,
Bronx ,10,X024 ,P.S. 024 Spuyten Duyvil ,Elementary ,915,746,123%
,,,,,,,
Bronx ,10,X279 ,"P.S. 279 Captain Manuel Rivera, Jr. ",K-8 ,"1,092",896,122%
,,,,,,,
Bronx ,10,X696 ,High School of American Studies at Lehman College ,High school ,400,333,120%
,,,,,,,
Bronx ,10,X037 ,P.S. X037 - Multiple Intelligence School ,K-8 ,646,542,119%
,,,,,,,
Bronx ,10,X033 ,P.S. 033 Timothy Dwight ,Elementary ,919,776,118%
,,,,,,,
Bronx ,10,X390 ,M.S. 390 ,Junior High-Intermediate-Middle ,539,464,116%
,,,,,,,
Bronx ,10,X228 ,Jonas Bronck Academy ,Junior High-Intermediate-Middle ,268,231,116%
,,,,,,,
Bronx ,10,X246 ,P.S. 246 Poe Center ,Elementary ,736,638,115%
,,,,,,,
Bronx ,10,X012 ,P.S. X012 Lewis and Clark School ,Secondary School ,303,263,115%
,,,,,,,
Bronx ,10,X363 ,Academy For Personal Leadership And Excellence ,Junior High-Intermediate-Middle ,557,484,115%
,,,,,,,
Bronx ,10,X159 ,P.S. 159 Luis Munoz Marin Biling ,Elementary ,193,169,114%
,,,,,,,
Bronx ,10,X020 ,"PS/MS 20 P.O.George J. Werdann, III ",K-8 ,"1,072",960,112%
,,,,,,,
Bronx ,10,X023 ,P.S. 023 The New Children's School ,Elementary ,488,442,110%
,,,,,,,
Bronx ,10,X447 ,Creston Academy ,Junior High-Intermediate-Middle ,460,417,110%
,,,,,,,
Bronx ,10,X095 ,P.S. 095 Sheila Mencher ,K-8 ,"1,288","1,183",109%
,,,,,,,
Bronx ,10,X054 ,P.S./I.S. 54 ,Elementary ,485,448,108%
,,,,,,,
Bronx ,10,X442 ,"Celia Cruz Bronx High School of Music, The ",High school ,427,395,108%
,,,,,,,
