Borough,District,Building Code,Building Name,Building Enrollment (2016-2017 Blue Book),Building Capacity (2016-2017 Blue Book),School DBN,School Name,Building Usage Plans Not Yet At Scale in 2018-2019
X,9,X400,MORRIS HS - X,1470,1739,09X297,Morris Academy for Collaborative Studies,
X,9,X400,MORRIS HS - X,1470,1739,09X403,Bronx International High School,
X,9,X400,MORRIS HS - X,1470,1739,09X404,School for Excellence,
X,9,X400,MORRIS HS - X,1470,1739,09X543,High School for Violin and Dance,
X,9,X400,MORRIS HS - X,1470,1739,79M984,LYFE,
X,9,X824,Bronx Hope- BRONX,75,257,79X695,Passages Academy,
X,10,X306,P.S. 306 - BRONX,1271,1495,10X306,P.S. 306,
X,10,X306,P.S. 306 - BRONX,1271,1495,10X331,The Bronx School of Young Leaders,
X,10,X306,P.S. 306 - BRONX,1271,1495,75X186,P186X Walter J. Damrosch School,
X,10,X660,GRACE H. DODGE VOC HS - X,1189,1461,10X264,Bronx Academy for Software Engineering (BASE),
X,10,X660,GRACE H. DODGE VOC HS - X,1189,1461,10X524,Crotona International High School,
X,10,X660,GRACE H. DODGE VOC HS - X,1189,1461,10X565,High School for Energy and Technology,
X,11,X142,I.S. 142 - BRONX,979,1278,11X355,Bronx Alliance Middle School,
X,11,X142,I.S. 142 - BRONX,979,1278,11X529,One World Middle School at Edenwald,
X,11,X142,I.S. 142 - BRONX,979,1278,11X532,Baychester Middle School,
X,11,X144[7],I.S. 144 - BRONX,1114,1449,11X144,J.H.S. 144 Michelangelo,Y
X,11,X144,I.S. 144 - BRONX,1114,1449,11X566,Pelham Gardens Middle School,Y
X,11,X144,I.S. 144 - BRONX,1114,1449,84X484,Bronx Charter School for Better Learning II,Y
X,11,X362,I.S./H.S. 362 - BRONX,1259,1539,11X270,Academy for Scholarship and Entrepreneurship: A College Board School,
X,11,X362,I.S./H.S. 362 - BRONX,1259,1539,11X513,New World High School,
X,11,X362,I.S./H.S. 362 - BRONX,1259,1539,11X514,The Bronxwood Preparatory Academy,
X,11,X362,I.S./H.S. 362 - BRONX,1259,1539,75X754,J. M. Rapport School Career Development,
X,11,X425,EVANDER CHILDS HS - X,2528,2708,11X253,Bronx High School for Writing and Communication Arts,
X,11,X425,EVANDER CHILDS HS - X,2528,2708,11X265,Bronx Lab School,
X,11,X425,EVANDER CHILDS HS - X,2528,2708,11X275,High School of Computers and Technology,
X,11,X425,EVANDER CHILDS HS - X,2528,2708,11X290,Bronx Academy of Health Careers,
X,11,X425,EVANDER CHILDS HS - X,2528,2708,11X544,High School for Contemporary Arts,
X,11,X425,EVANDER CHILDS HS - X,2528,2708,11X545,Bronx Aerospace High School,
X,11,X425,EVANDER CHILDS HS - X,2528,2708,75X176,P.S. X176,
X,11,X425,EVANDER CHILDS HS - X,2528,2708,75X723,P.S. 723,
X,12,X006,P.S. 6 - BRONX,549,837,12X006,P.S. 006 West Farms,
X,12,X006,P.S. 6 - BRONX,549,837,88X994,ALC - PS 6,
X,12,X061,P.S. 61 - BRONX,539,717,12X061,P.S. 061 Francisco Oller,
X,12,X061,P.S. 61 - BRONX,539,717,12X190,E.S.M.T- I.S. 190,
X,12,X099,REV. J.A. POLITE AVE SCHOOL CAMPUS ,447,653,12X248,"Metropolitan High School, The",
X,12,X099,REV. J.A. POLITE AVE SCHOOL CAMPUS ,447,653,75X723,P.S. 723,
X,12,X116,I.S. 216 - BRONX,1055,1336,12X217,School of Performing Arts,Y
X,12,X116,I.S. 216 - BRONX,1055,1336,12X384,Entrada Academy,Y
X,12,X116,I.S. 216 - BRONX,1055,1336,84X346,South Bronx Classical Charter School,Y
X,12,X116,I.S. 216 - BRONX,1055,1336,84X587,New York Center for Autism Charter School Bronx,Y
X,12,X158,I.S. 158 - BRONX,1596,1813,12X267,Bronx Latin,
X,12,X158,I.S. 158 - BRONX,1596,1813,12X479,Bronx Career and College Preparatory High School,
X,12,X158,I.S. 158 - BRONX,1596,1813,84X482,Dr. Richard Izquierdo Health and Science Charter School,
X,12,X193,P.S. 211 - BRONX,1163,1371,12X211,P.S. 211,Y
X,12,X193,P.S. 211 - BRONX,1163,1371,12X318,"I.S. X318 Math, Science & Technology Through Arts",Y
X,12,X193,P.S. 211 - BRONX,1163,1371,84X124,Children's Aid College Prep Charter School,Y
X,12,X198,P.S. 198 - BRONX,701,862,12X212,P.S. 212,Y
X,12,X198,P.S. 198 - BRONX,701,862,12X463,Urban Scholars Community School,Y
X,12,X420[8],JAMES MONROE EDUCATIONAL CAMPUS - X,1671,2099,12X388,Pan American International High School at Monroe,Y
X,12,X420,JAMES MONROE EDUCATIONAL CAMPUS - X,1671,2099,12X428,Learning To Work YABC At Monroe Academy,Y
X,12,X420,JAMES MONROE EDUCATIONAL CAMPUS - X,1671,2099,12X428,Learning To Work YABC At Monroe Academy,Y
X,12,X420,JAMES MONROE EDUCATIONAL CAMPUS - X,1671,2099,12X521,The Metropolitan Soundview High School,Y
X,12,X420,JAMES MONROE EDUCATIONAL CAMPUS - X,1671,2099,12X550,High School of World Cultures,Y
X,12,X420,JAMES MONROE EDUCATIONAL CAMPUS - X,1671,2099,79M984,LYFE,Y
X,12,X420,JAMES MONROE EDUCATIONAL CAMPUS - X,1671,2099,88X995,ALC - Monroe Campus,Y
K,13,K044,P.S. 44 - BROOKLYN,502,756,13K044,P.S. 044 Marcus Garvey,
K,13,K044,P.S. 44 - BROOKLYN,502,756,84K757,Unity Prep Charter School,
K,13,K093[9],P.S. 93 - BROOKLYN,457,535,13K093,P.S. 093 William H. Prescott,Y
K,13,K117[10],I.S. 117 - BROOKLYN,744,1118,13K412,Brooklyn Community Arts & Media High School (BCAM),
K,13,K117,I.S. 117 - BROOKLYN,744,1118,13K616,Brooklyn High School for Leadership and Community Service,
K,13,K117,I.S. 117 - BROOKLYN,744,1118,75K369,P.S. K369 - Coy L. Cox School,
K,13,K117,I.S. 117 - BROOKLYN,744,1118,84K879,Brooklyn Prospect Charter School Downtown,
K,13,K270[11],P.S. 270 - BROOKLYN,288,604,13K270,P.S. 270 Johann DeKalb,
K,13,K270,P.S. 270 - BROOKLYN,288,604,84K702,Community Partnership Charter School,
K,13,K287,P.S. 287 - BROOKLYN,361,608,13K287,P.S. 287 Bailey K. Ashford,
K,13,K287,P.S. 287 - BROOKLYN,361,608,84K536,Community Roots Charter School,
K,14,K050,J.H.S. 50 - BROOKLYN,793,1033,14K050,J.H.S. 050 John D. Wells,
K,14,K050,J.H.S. 50 - BROOKLYN,793,1033,84K182,Success Academy Charter School - Williamsburg,
K,14,K084,P.S. 84 - BROOKLYN,799,1035,14K084,P.S. 084 Jose De Diego,
K,14,K250,P.S. 250 - BROOKLYN,558,839,14K250,P.S. 250 George H. Lindsay,
K,14,K318,I.S. 318 - BROOKLYN,1358,1616,14K318,I.S. 318 Eugenio Maria De Hostos,
K,15,K015,P.S. 15 - BROOKLYN,447,624,15K015,P.S. 015 Patrick F. Daly,
K,15,K804,COBBLE HILL SCL OF AMR STD (OL6)-K,611,844,15K519,Cobble Hill School of American Studies,
K,15,K804,COBBLE HILL SCL OF AMR STD (OL6)-K,611,844,75K373,P.S. 373 - Brooklyn Transition Center,
K,16,K021,P.S. 21 - BROOKLYN,599,769,16K021,P.S. 021 Crispus Attucks,
K,16,K021,P.S. 21 - BROOKLYN,599,769,75K140,P.S. K140,
K,16,K028,P.S. 28 - BROOKLYN,166,317,16K028,P.S. 028 The Warren Prep Academy,
K,16,K035,I.S. 35 - BROOKLYN,537,818,16K035,M.S. 035 Stephen Decatur,
K,16,K035,I.S. 35 - BROOKLYN,537,818,16K628,Brooklyn Brownstone School,
K,16,K035,I.S. 35 - BROOKLYN,537,818,75K141,P.S. K141,
K,16,K243,P.S. 243 - BROOKLYN,564,853,16K243,P.S. 243K- The Weeksville School,
K,16,K243,P.S. 243 - BROOKLYN,564,853,84K360,Launch Expeditionary Learning Charter School,
K,16,K262,P.S. 262 - BROOKLYN,381,612,16K262,P.S. 262 El Hajj Malik El Shabazz Elementary School,Y
K,16,K304,P.S. 304 - BROOKLYN,378,616,16K627,Brighter Choice Community School,
K,16,K304,P.S. 304 - BROOKLYN,378,616,75K140,P.S. K140,
K,17,K241,P.S. 241 - BROOKLYN,524,725,17K241,P.S. 241 Emma L. Johnston,
K,17,K289,P.S. 289 - BROOKLYN,450,743,17K289,P.S. 289 George V. Brower,
K,17,K289,P.S. 289 - BROOKLYN,450,743,75K396,P.S. K396,
K,17,K625,ROBESON HS COMP&BUS TC (A HML)-K,972,1247,17K122,Pathways in Technology Early College High School (P-Tech),
K,17,K625,ROBESON HS COMP&BUS TC (A HML)-K,972,1247,17K751,Academy for Health Careers,
K,17,K625,ROBESON HS COMP&BUS TC (A HML)-K,972,1247,79M984,LYFE,
K,17,K907[12],BROWNSVILLE DIPLOMA PLUS HS - K,248,704,17K568,Brownsville Academy High School,Y
K,17,K907,BROWNSVILLE DIPLOMA PLUS HS - K,248,704,84K757,Unity Prep Charter School,Y
K,18,K115,P.S. 115 - BROOKLYN,1014,1171,18K115,P.S. 115 Daniel Mucatel School,
K,18,K135,P.S. 135 - BROOKLYN,407,618,18K135,P.S. 135 Sheldon A. Brookner,
K,18,K208,P.S. 208 - BROOKLYN,436,593,18K208,P.S. 208 Elsa Ebeling,
K,18,K219,P.S. 219 - BROOKLYN,536,817,18K219,P.S. 219 Kennedy-King,
K,18,K244,P.S. 244 - BROOKLYN,775,1068,18K244,P.S. 244 Richard R. Green,
K,18,K244,P.S. 244 - BROOKLYN,775,1068,18K763,Brooklyn Science and Engineering Academy,
K,18,K268,P.S. 268 - BROOKLYN,424,627,18K268,P.S. 268 Emma Lazarus,
K,18,K272,P.S. 272 - BROOKLYN,488,738,18K272,P.S. 272 Curtis Estabrook,
K,18,K279,P.S. 279 - BROOKLYN,808,1012,18K279,P.S. 279 Herman Schreiber,
K,18,K279,P.S. 279 - BROOKLYN,808,1012,84K724,Leadership Prep Canarsie Charter School (Leadership Prep CS 4),
K,19,K171,I.S. 171 - BROOKLYN,756,915,19K171,I.S. 171 Abraham Lincoln,
K,19,K171,I.S. 171 - BROOKLYN,756,915,19K760,Highland Park Community School,
K,19,K174,P.S. 174 - BROOKLYN,479,729,19K557,Brooklyn Gardens Elementary School,
K,19,K174,P.S. 174 - BROOKLYN,479,729,19K663,School of the Future Brooklyn,
K,19,K213[13],P.S. 213 - BROOKLYN,331,686,19K213,P.S. 213 New Lots,
K,19,K224,P.S. 224 - BROOKLYN,481,690,19K224,P.S. 224 Hale A. Woodruff,
K,19,K224,P.S. 224 - BROOKLYN,481,690,75K036,P.S. 36,
K,19,K260,P.S. 260 - BROOKLYN,228,416,19K325,The Fresh Creek School,
K,19,K302,I.S. 302 - BROOKLYN,1297,1462,19K661,Vista Academy,
K,19,K302,I.S. 302 - BROOKLYN,1297,1462,19K662,Liberty Avenue Middle School,
K,19,K302,I.S. 302 - BROOKLYN,1297,1462,84K774,Achievement First Apollo Charter School,
K,19,K346,P.S. 346 - BROOKLYN,957,1155,19K346,P.S. 346 Abe Stark,
K,19,K346,P.S. 346 - BROOKLYN,957,1155,19K452,Frederick Douglass Academy VIII Middle School,
K,19,K364,I.S. 364 - BROOKLYN,322,484,19K364,I.S. 364 Gateway,
K,20,K062,I.S. 62 - BROOKLYN,1191,1378,20K062,J.H.S. 062 Ditmas,
K,20,K237,LUCRETIA MARCIGLIANO CAMPUS - K,1000,1154,20K682,The Academy of Talented Scholars,
K,20,K237,LUCRETIA MARCIGLIANO CAMPUS - K,1000,1154,20K686,Brooklyn School of Inquiry,
K,20,K237,LUCRETIA MARCIGLIANO CAMPUS - K,1000,1154,75K370,P.S. 370,
K,21,K329,P.S. 329 - BROOKLYN,555,720,21K329,P.S. 329 Surfside,
K,21,K329,P.S. 329 - BROOKLYN,555,720,75K771,P.S. K771,
K,22,K078,I.S. 78 - BROOKLYN,934,1225,22K078,J.H.S. 078 Roy H. Mann,
K,22,K078,I.S. 78 - BROOKLYN,934,1225,84K781,Success Academy Charter School - Bergen Beach - New York 4,
K,22,K197[14],P.S. 197 - BROOKLYN,930,1009,22K197,P.S. 197 - The Kings Highway Academy,
K,22,K278,I.S. 278 - BROOKLYN,1031,1305,22K278,J.H.S. 278 Marine Park,
K,23,K041,P.S. 41 - BROOKLYN,476,639,23K041,P.S. 041 Francis White,
K,23,K055,I.S. 55 - BROOKLYN,1143,1420,23K493,Brooklyn Collegiate: A College Board School,
K,23,K055,I.S. 55 - BROOKLYN,1143,1420,84K626,Achievement First Brownsville Charter School,
K,23,K150,P.S. 150 - BROOKLYN,510,688,23K150,P.S. 150 Christopher,
K,23,K150,P.S. 150 - BROOKLYN,510,688,84K710,Brownsville Collegiate Charter School,
K,23,K183,P.S. 183 - BROOKLYN,489,643,23K446,Riverdale Avenue Community School,
K,23,K183,P.S. 183 - BROOKLYN,489,643,23K668,Riverdale Avenue Middle School,
K,23,K184,P.S. 184 - BROOKLYN,509,749,23K184,P.S. 184 Newport,
