"","dbn","latitude","longitude","postcode","accessibility","district","borough","school_name.x","year","total_enrollment","grade_pk_half_day_full_day","grade_k","grade_1","grade_2","grade_3","grade_4","grade_5","grade_6","grade_7","grade_8","grade_9","grade_10","grade_11","grade_12","female","female_1","male","male_1","asian","asian_1","black","black_1","hispanic","hispanic_1","multiple_race_categories","multiple_race_categories_1","white","white_1","students_with_disabilities","students_with_disabilities_1","english_language_learners","english_language_learners_1","poverty","poverty_1","economic_need_index","school_name.y","sharedbuilding","school_name"
"24","01M515",NA,NA,NA,NA,NA,NA,"Lower East Side Preparatory High School","2018-19","543","0","0","0","0","0","0","0","0","0","0","44","151","124","224","231","0.425","312","0.575","274","0.505","51","0.094","206","0.379","2","0.004","10","0.018","42","0.077","390","0.718","377","0.694","0.937",NA,NA,NA
"25","01M539",NA,NA,NA,NA,NA,NA,"New Explorations into Science, Technology and Math","2018-19","1754","0","100","116","119","148","116","109","145","141","145","162","154","158","141","833","0.475","921","0.525","584","0.333","118","0.067","199","0.113","156","0.089","697","0.397","161","0.092","28","0.016","412","0.235","0.259",NA,NA,NA
"26","01M650",NA,NA,NA,NA,NA,NA,"Cascades High School","2018-19","187","0","0","0","0","0","0","0","0","0","0","18","74","55","40","89","0.476","98","0.524","5","0.027","90","0.481","90","0.481","0","0.0","2","0.011","39","0.209","4","0.021","157","0.84","0.831",NA,NA,NA
"27","01M696",NA,NA,NA,NA,NA,NA,"Bard High School Early College","2018-19","615","0","0","0","0","0","0","0","0","0","0","173","169","128","145","379","0.616","236","0.384","178","0.289","66","0.107","108","0.176","15","0.024","248","0.403","48","0.078","1","0.002","247","0.402","0.39",NA,NA,NA
"28","01M839",NA,NA,NA,NA,NA,NA,"Tompkins Square Middle School","2018-19","362","0","0","0","0","0","0","0","120","122","120","0","0","0","0","193","0.533","169","0.467","78","0.215","47","0.13","147","0.406","14","0.039","76","0.21","99","0.273","7","0.019","244","0.674","0.659",NA,NA,NA
"29","02M001","40.71276","-73.997489","10038","Not Accessible","2","MANHATTAN","P.S. 001 Alfred E. Smith","2018-19","295","29","35","40","42","47","47","55","0","0","0","0","0","0","0","137","0.464","158","0.536","147","0.498","53","0.18","84","0.285","4","0.014","7","0.024","81","0.275","56","0.19","223","0.756","0.814","P.S. 1 Alfred E. Smith",NA,NA
"30","02M002","40.713273","-73.991339","10002","Not Accessible","2","MANHATTAN","P.S. 002 Meyer London","2018-19","483","20","63","84","67","78","79","92","0","0","0","0","0","0","0","220","0.455","263","0.545","367","0.76","39","0.081","71","0.147","0","0.0","6","0.012","109","0.226","153","0.317","450","0.932","0.891","P.S. 2 Meyer London",NA,NA
"31","02M003","40.732593","-74.006466","10014","Not Accessible","2","MANHATTAN","P.S. 003 Charrette School","2018-19","731","54","125","111","127","100","99","115","0","0","0","0","0","0","0","357","0.488","374","0.512","69","0.094","39","0.053","119","0.163","43","0.059","461","0.631","143","0.196","32","0.044","163","0.223","0.175","P.S. 3 Charrette School",NA,NA
"32","02M006","40.777455","-73.960713","10028","Not Accessible","2","MANHATTAN","P.S. 006 Lillie D. Blake","2018-19","671","83","104","109","100","90","86","99","0","0","0","0","0","0","0","343","0.511","328","0.489","115","0.171","16","0.024","41","0.061","11","0.016","488","0.727","103","0.154","22","0.033","82","0.122","0.102","P.S. 6 Lillie D. Blake",NA,NA
"33","02M011","40.744349","-74.000253","10011","Not Accessible","2","MANHATTAN","P.S. 011 William T. Harris","2018-19","888","18","153","137","155","145","134","146","0","0","0","0","0","0","0","430","0.484","458","0.516","137","0.154","51","0.057","216","0.243","75","0.084","409","0.461","133","0.15","29","0.033","276","0.311","0.336","P.S. 11 William T. Harris",NA,NA
"34","02M033","40.748818","-73.999646","10001","Partially Accessible","2","MANHATTAN","P.S. 033 Chelsea Prep","2018-19","632","33","81","114","94","99","113","98","0","0","0","0","0","0","0","315","0.498","317","0.502","149","0.236","116","0.184","182","0.288","56","0.089","129","0.204","93","0.147","38","0.06","308","0.487","0.487","P.S. 33 Chelsea Prep",NA,NA
"35","02M040","40.735161","-73.982027","10003","Not Accessible","2","MANHATTAN","P.S. 040 Augustus Saint-Gaudens","2018-19","708","35","125","138","125","96","93","96","0","0","0","0","0","0","0","357","0.504","351","0.496","86","0.121","12","0.017","99","0.14","72","0.102","439","0.62","113","0.16","18","0.025","81","0.114","0.139","P.S. 40 Augustus Saint-Gaudens",NA,NA
"36","02M041","40.735692","-73.999026","10011","Not Accessible","2","MANHATTAN","P.S. 041 Greenwich Village","2018-19","694","53","110","112","95","118","90","116","0","0","0","0","0","0","0","355","0.512","339","0.488","51","0.073","10","0.014","63","0.091","90","0.13","480","0.692","112","0.161","11","0.016","49","0.071","0.076","P.S. 41 Greenwich Village",NA,NA
"37","02M042","40.715905","-73.990895","10002","Not Accessible","2","MANHATTAN","P.S. 042 Benjamin Altman","2018-19","574","34","82","105","98","91","81","83","0","0","0","0","0","0","0","277","0.483","297","0.517","497","0.866","8","0.014","43","0.075","3","0.005","23","0.04","96","0.167","187","0.326","400","0.697","0.785","P.S. 42 Benjamin Altman",NA,NA
"38","02M047",NA,NA,NA,NA,NA,NA,"47 The American Sign Language and English Secondar","2018-19","196","0","0","0","0","0","0","0","0","0","0","76","35","46","39","140","0.714","56","0.286","6","0.031","54","0.276","126","0.643","1","0.005","9","0.046","53","0.27","9","0.046","173","0.883","0.768",NA,NA,NA
"39","02M051","40.761479","-73.995823","10036","Fully Accessible","2","MANHATTAN","P.S. 051 Elias Howe","2018-19","481","71","64","77","73","68","64","64","0","0","0","0","0","0","0","246","0.511","235","0.489","62","0.129","71","0.148","229","0.476","14","0.029","105","0.218","94","0.195","35","0.073","270","0.561","0.581","P.S. 51 Elias Howe",NA,NA
"40","02M059","40.75924","-73.967203","10022","Fully Accessible","2","MANHATTAN","P.S. 059 Beekman Hill International","2018-19","598","20","100","111","102","104","96","65","0","0","0","0","0","0","0","306","0.512","292","0.488","119","0.199","8","0.013","63","0.105","61","0.102","347","0.58","83","0.139","28","0.047","68","0.114","0.078","P.S. 059 Beekman Hill International",NA,NA
"41","02M077",NA,NA,NA,NA,NA,NA,"P.S. 77 Lower Lab School","2018-19","360","0","50","60","64","64","64","58","0","0","0","0","0","0","0","174","0.483","186","0.517","118","0.328","1","0.003","17","0.047","42","0.117","182","0.506","32","0.089","0","0.0","39","0.108","0.091",NA,NA,NA
"42","02M089","40.716668","-74.013542","10282","Fully Accessible","2","MANHATTAN","P.S. 89","2018-19","456","35","88","92","63","47","61","70","0","0","0","0","0","0","0","218","0.478","238","0.522","87","0.191","7","0.015","54","0.118","38","0.083","270","0.592","65","0.143","28","0.061","40","0.088","0.092","P.S. 89",NA,NA
"43","02M104",NA,NA,NA,NA,NA,NA,"J.H.S. 104 Simon Baruch","2018-19","1116","0","0","0","0","0","0","0","374","365","377","0","0","0","0","540","0.484","576","0.516","389","0.349","84","0.075","196","0.176","57","0.051","390","0.349","174","0.156","54","0.048","478","0.428","0.398",NA,NA,NA
"44","02M111","40.765878","-73.988823","10019","Not Accessible","2","MANHATTAN","P.S. 111 Adolph S. Ochs","2018-19","413","48","69","56","52","73","57","58","0","0","0","0","0","0","0","190","0.46","223","0.54","65","0.157","56","0.136","194","0.47","17","0.041","81","0.196","90","0.218","41","0.099","233","0.564","0.575","P.S. 111 Adolph S. Ochs",NA,NA
"45","02M114",NA,NA,NA,NA,NA,NA,"East Side Middle School","2018-19","451","0","0","0","0","0","0","0","151","148","152","0","0","0","0","259","0.574","192","0.426","63","0.14","13","0.029","53","0.118","33","0.073","289","0.641","75","0.166","0","0.0","73","0.162","0.128",NA,NA,NA
"46","02M116","40.744838","-73.978116","10016","Not Accessible","2","MANHATTAN","P.S. 116 Mary Lindley Murray","2018-19","504","54","74","84","73","63","81","75","0","0","0","0","0","0","0","270","0.536","234","0.464","112","0.222","45","0.089","99","0.196","33","0.065","215","0.427","86","0.171","25","0.05","163","0.323","0.338","P.S. 116 Mary Lindley Murray",NA,NA
